CODGP_PROD_OBRAS; CODGP_PROD; Fecha Creación; Disiplina de origen; Institución Licencia; Fecha Licencia; Distinciones; Selección Distinción; Productos Asociados; Número Derechos Autor/NIT; 
COL0005762O123;COL0005762123;;;;;;;;;
COL0005762O124;COL0005762124;;;;;;;;;
COL0005762O125;COL0005762125;;;;;;;;;
COL0010889O673;COL0010889673;;;;;;;;;
COL0010889O674;COL0010889674;;;;;;;;;
COL0010889O675;COL0010889675;;;;;;;;;
COL0000882O120;COL0000882120;;;;;;;;;
COL0000882O121;COL0000882121;;;;;;;;;
COL0000882O122;COL0000882122;;;;;;;;;
COL0021139O208;COL0021139208;;;;;;;;;
COL0021139O209;COL0021139209;;;;;;;;;
COL0021139O210;COL0021139210;;;;;;;;;
COL0010566O366;COL0010566366;;;;;;;;;
COL0010566O367;COL0010566367;;;;;;;;;
COL0010566O368;COL0010566368;;;;;;;;;
COL0029085O329;COL0029085329;;;;;;;;;
COL0029085O330;COL0029085330;;;;;;;;;
COL0029085O331;COL0029085331;;;;;;;;;
COL0024499O70;COL002449970;;;;;;;;;
COL0024499O71;COL002449971;;;;;;;;;
COL0024499O72;COL002449972;;;;;;;;;
COL0007758O671;COL0007758671;;;;;;;;;
COL0007758O672;COL0007758672;;;;;;;;;
COL0007758O673;COL0007758673;;;;;;;;;
COL0032151O96;COL003215196;;;;;;;;;
COL0032151O97;COL003215197;;;;;;;;;
COL0032151O98;COL003215198;;;;;;;;;
COL0022431O97;COL002243197;;;;;;;;;
COL0022431O98;COL002243198;;;;;;;;;
COL0022431O99;COL002243199;;;;;;;;;
COL0039279O166;COL0039279166;;;;;;;;;
COL0039279O167;COL0039279167;;;;;;;;;
COL0039279O168;COL0039279168;;;;;;;;;
COL0044036O30;COL004403630;;;;;;;;;
COL0044036O31;COL004403631;;;;;;;;;
COL0044036O32;COL004403632;;;;;;;;;
COL0046264O20;COL004626420;;;;;;;;;
COL0046264O21;COL004626421;;;;;;;;;
COL0046264O22;COL004626422;;;;;;;;;
COL0050347O239;COL0050347239;;;;;;;;;
COL0050347O240;COL0050347240;;;;;;;;;
COL0050347O241;COL0050347241;;;;;;;;;
COL0055568O118;COL0055568118;;;;;;;;;
COL0055568O119;COL0055568119;;;;;;;;;
COL0055568O120;COL0055568120;;;;;;;;;
COL0058265O58;COL005826558;;;;;;;;;
COL0058265O59;COL005826559;;;;;;;;;
COL0058265O60;COL005826560;;;;;;;;;
COL0066454O116;COL0066454116;;;;;;;;;
COL0066454O117;COL0066454117;;;;;;;;;
COL0066454O118;COL0066454118;;;;;;;;;
COL0069213O81;COL006921381;;;;;;;;;
COL0069213O82;COL006921382;;;;;;;;;
COL0069213O83;COL006921383;;;;;;;;;
COL0070896O135;COL0070896135;;;;;;;;;
COL0070896O136;COL0070896136;;;;;;;;;
COL0070896O137;COL0070896137;;;;;;;;;
COL0049533O26;COL004953326;;;;;;;;;
COL0049533O27;COL004953327;;;;;;;;;
COL0049533O28;COL004953328;;;;;;;;;
COL0065967O89;COL006596789;;;;;;;;;
COL0065967O90;COL006596790;;;;;;;;;
COL0065967O91;COL006596791;;;;;;;;;
COL0083749O159;COL0083749159;;;;;;;;;
COL0083749O160;COL0083749160;;;;;;;;;
COL0083749O161;COL0083749161;;;;;;;;;
COL0075032O24;COL007503224;;;;;;;;;
COL0075032O25;COL007503225;;;;;;;;;
COL0075032O26;COL007503226;;;;;;;;;
COL0059852O73;COL005985273;;;;;;;;;
COL0059852O74;COL005985274;;;;;;;;;
COL0059852O75;COL005985275;;;;;;;;;
COL0105104O47;COL010510447;;;;;;;;;
COL0105104O48;COL010510448;;;;;;;;;
COL0105104O49;COL010510449;;;;;;;;;
COL0110309O145;COL0110309145;;;;;;;;;
COL0110309O146;COL0110309146;;;;;;;;;
COL0110309O147;COL0110309147;;;;;;;;;
COL0119137O85;COL011913785;;;;;;;;;
COL0119137O86;COL011913786;;;;;;;;;
COL0119137O87;COL011913787;;;;;;;;;
COL0120979O83;COL012097983;;;;;;;;;
COL0120979O84;COL012097984;;;;;;;;;
COL0120979O85;COL012097985;;;;;;;;;
COL0148863O17;COL014886317;;;;;;;;;
COL0148863O18;COL014886318;;;;;;;;;
COL0148863O19;COL014886319;;;;;;;;;
COL0002439O223;COL0002439223;;;;;;;;;
COL0002439O224;COL0002439224;;;;;;;;;
COL0002439O225;COL0002439225;;;;;;;;;
COL0022807O9;COL00228079;;;;;;;;;
COL0022807O10;COL002280710;;;;;;;;;
COL0022807O11;COL002280711;;;;;;;;;
COL0014458O470;COL0014458470;;;;;;;;;
COL0014458O471;COL0014458471;;;;;;;;;
COL0014458O472;COL0014458472;;;;;;;;;
COL0011385O300;COL0011385300;;;;;;;;;
COL0011385O301;COL0011385301;;;;;;;;;
COL0011385O302;COL0011385302;;;;;;;;;
COL0061046O215;COL0061046215;;;;;;;;;
COL0061046O216;COL0061046216;;;;;;;;;
COL0061046O217;COL0061046217;;;;;;;;;
COL0011779O56;COL001177956;;;;;;;;;
COL0011779O57;COL001177957;;;;;;;;;
COL0011779O58;COL001177958;;;;;;;;;
COL0026459O80;COL002645980;;;;;;;;;
COL0026459O81;COL002645981;;;;;;;;;
COL0026459O82;COL002645982;;;;;;;;;
COL0009476O239;COL0009476239;;;;;;;;;
COL0009476O240;COL0009476240;;;;;;;;;
COL0009476O241;COL0009476241;;;;;;;;;
COL0148175O207;COL0148175207;;;;;;;;;
COL0148175O208;COL0148175208;;;;;;;;;
COL0148175O209;COL0148175209;;;;;;;;;
COL0154771O6;COL01547716;;;;;;;;;
COL0154771O7;COL01547717;;;;;;;;;
COL0154771O8;COL01547718;;;;;;;;;
COL0009912O329;COL0009912329;;;;;;;;;
COL0009912O330;COL0009912330;;;;;;;;;
COL0009912O331;COL0009912331;;;;;;;;;
COL0058096O102;COL0058096102;;;;;;;;;
COL0058096O103;COL0058096103;;;;;;;;;
COL0058096O104;COL0058096104;;;;;;;;;
COL0025148O38;COL002514838;;;;;;;;;
COL0025148O39;COL002514839;;;;;;;;;
COL0025148O40;COL002514840;;;;;;;;;
COL0029245O88;COL002924588;;;;;;;;;
COL0029245O89;COL002924589;;;;;;;;;
COL0029245O90;COL002924590;;;;;;;;;
COL0161489O23;COL016148923;;;;;;;;;
COL0161489O24;COL016148924;;;;;;;;;
COL0161489O25;COL016148925;;;;;;;;;
COL0065689O13;COL006568913;;;;;;;;;
COL0065689O14;COL006568914;;;;;;;;;
COL0065689O15;COL006568915;;;;;;;;;
COL0069213O21;COL006921321;;;;;;;;;
COL0069213O22;COL006921322;;;;;;;;;
COL0069213O23;COL006921323;;;;;;;;;
COL0038066O81;COL003806681;Enero de 2012;Humanidades -- Arte -- Diseńo;;cha de papa criolla,;;;;;
COL0034595O49;COL003459549;;;;;;;;;
COL0034595O50;COL003459550;;;;;;;;;
COL0034595O51;COL003459551;;;;;;;;;
COL0059638O109;COL0059638109;;;;;;;;;
COL0059638O110;COL0059638110;;;;;;;;;
COL0059638O111;COL0059638111;;;;;;;;;
COL0147768O94;COL014776894;;;;;;;;;
COL0147768O95;COL014776895;;;;;;;;;
COL0147768O96;COL014776896;;;;;;;;;
